Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
CHACO,Sargento Cabral,Capitán Solari,1888,--,--,--,SI,--,SI,SI,SI,-268050732181615.0,-595596523744138.0
CHACO,Sargento Cabral,Colonia Elisa,3471,--,--,--,--,SI,--,SI,SI,-269324550960675.0,-595204851339373.0
CHACO,Sargento Cabral,Colonias Unidas,3282,--,--,--,SI,--,SI,SI,SI,-267000971775462.0,-596277421824927.0
CHACO,Sargento Cabral,Ingeniero Barbet,277,--,--,--,--,--,--,--,--,-270032121063146.0,-594825136520473.0
CHACO,Sargento Cabral,Las Garcitas,3711,--,--,--,--,SI,SI,SI,SI,-266193460346699.0,-598042763819042.0
CHACO,Tapenagá,Charadai,1519,--,--,--,SI,SI,--,SI,SI,-276553304709616.0,-598624460245382.0
CHACO,Tapenagá,Cote Lai,1323,--,--,--,--,--,--,SI,SI,-275303116601138.0,-595765171513905.0
CHACO,Tapenagá,Haumonía,77,--,--,--,--,--,--,--,--,-275077849029352.0,-601635277537413.0
CHACO,Tapenagá,Horquilla,122,--,--,--,--,--,--,--,--,-275427589336639.0,-599578541039413.0
CHACO,Tapenagá,La Sabana,242,--,--,--,--,--,--,--,--,-278738009106984.0,-59939569589112.0
CHUBUT,Biedma,Arroyo Verde,59,--,--,--,--,SI,--,--,--,-420119886969656.0,-653064500926092.0
CHUBUT,Biedma,Puerto Madryn,81315,SI,SI,SI,SI,SI,SI,SI,SI,-427550996783449.0,-650422298178163.0
CHUBUT,Biedma,Puerto Pirámide,565,--,--,--,--,SI,SI,SI,SI,-425736171931039.0,-642836893467339.0
CHUBUT,Biedma,Quinta El Mirador,626,--,--,--,--,--,SI,--,SI,-42811590013144.0,-65051417803805.0
CORDOBA,Cruz del Eje,Cruz del Eje,30680,SI,SI,--,SI,--,SI,SI,SI,-307218592173102.0,-648077377312137.0
CORDOBA,Cruz del Eje,El Brete,1749,--,--,--,SI,--,SI,--,--,-306722100581192.0,-648699070292303.0
CORDOBA,Cruz del Eje,El Rincón,129,--,--,--,--,--,--,--,--,-307491607666016.0,-646445159912109.0
CORDOBA,Cruz del Eje,Guanaco Muerto,320,--,--,--,--,--,SI,--,--,-304794131800612.0,-650597627738017.0
CORDOBA,Cruz del Eje,La Banda,560,--,--,--,--,SI,--,--,--,-307628592235779.0,-646459839334075.0
CORDOBA,Cruz del Eje,La Batea,96,--,--,--,--,--,SI,--,--,-304417646532675.0,-654238386532105.0
CORDOBA,Cruz del Eje,La Higuera,404,SI,--,--,--,--,SI,SI,SI,-310139548417914.0,-651020313666951.0
CORDOBA,Cruz del Eje,Las Cañadas,149,--,--,--,--,--,--,--,--,-309332479488458.0,-647189758691612.0
CORDOBA,Cruz del Eje,Las Playas,937,--,--,--,SI,--,SI,--,--,-306895900139602.0,-648508831281017.0
CORDOBA,Cruz del Eje,Los Chañaritos,311,--,--,--,SI,--,SI,--,--,-305724823864554.0,-649410778222467.0
CORDOBA,Cruz del Eje,Media Naranja,800,--,--,--,--,--,SI,--,--,-306233104657952.0,-649515406139404.0
CORDOBA,Cruz del Eje,Paso Viejo,1033,SI,--,--,--,--,SI,SI,SI,-307686835768001.0,-651864700189142.0
CORDOBA,Cruz del Eje,San Marcos Sierra,943,--,SI,--,SI,--,SI,SI,SI,-307803420622583.0,-646468515131076.0
CORDOBA,Cruz del Eje,Serrezuela,2441,SI,--,--,SI,--,SI,SI,SI,-306392026300348.0,-653813009621884.0
CORDOBA,Cruz del Eje,Tuclame,907,--,--,--,--,--,SI,--,--,-307485284753417.0,-652375410689391.0
BUENOS AIRES,General Pueyrredón,Chapadmalal,4112,SI,--,--,SI,SI,SI,SI,SI,-381757779275595.0,-576513390003209.0
BUENOS AIRES,General Pueyrredón,El Marquesado,196,--,--,--,--,--,SI,SI,--,-382369312519788.0,-57763418077922.0
BUENOS AIRES,General Pueyrredón,Estacion Camet,0,--,--,--,--,--,--,--,SI,-37888665236683.0,-576000121501773.0
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1633,SI,--,--,SI,SI,SI,--,SI,-38036727731373.0,-577129897398616.0
